Model,Start Date,End Date,Average Sharpe Ratio,Average Return,Volatility,Final Portfolio Value
"best_model_layers_3_seq_365_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm3.pth",2017-01-03,2020-12-28,0.8241557733906772,0.0027078455440031,0.0236927927223583,1658197.656255669
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.001_daydecay10_maxnorm3.pth",2017-01-03,2020-12-28,0.8225439515233129,0.0027296459941254,0.0239303409318308,1663499.6666409867
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8225415946764646,0.0025902900365334,0.0227086960841622,1625007.0106787095
"best_model_layers_2_seq_180_hunits[64, 148]_lr0.001_daydecay10_maxnorm15.pth",2017-01-03,2020-12-28,0.82240670373064,0.0026686095453276,0.0233991491222637,1646299.5230986783
"best_model_layers_3_seq_60_hunits[32, 64, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8199100905421348,0.0028645848357229,0.0251940002379684,1699271.535357637
"best_model_layers_2_seq_30_hunits[64, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.8195033955633707,0.0026616336652424,0.0234206635591436,1643969.3800577703
best_model_layers_1_seq_365_hunits[148]_lr0.001_daydecay1_maxnorm8.pth,2017-01-03,2020-12-28,0.8169098241671112,0.0026439724792341,0.0233391203356231,1638533.195654592
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay5_maxnorm3.pth",2017-01-03,2020-12-28,0.8165880128183811,0.0025757985615965,0.0227462897895082,1619629.7168033903
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay10_maxnorm15.pth",2017-01-03,2020-12-28,0.814607248040217,0.0025927469613398,0.0229516300914442,1623445.4628595875
best_model_layers_1_seq_180_hunits[148]_lr0.0001_daydecay1_maxnorm1.pth,2017-01-03,2020-12-28,0.8144269784471266,0.0026180882624729,0.0231810873751637,1630755.313875992
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay1_maxnorm8.pth,2017-01-03,2020-12-28,0.8139192323763035,0.0026096343500099,0.0231206490395909,1628411.326290772
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.0001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.8138098556789374,0.0026187029031066,0.0232041121804317,1630772.238110364
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.001_daydecay5_maxnorm1.pth",2017-01-03,2020-12-28,0.812169376291289,0.0025067602088878,0.0222570629533224,1600419.6337867994
"best_model_layers_2_seq_60_hunits[256, 148]_lr0.001_daydecay2_maxnorm8.pth",2017-01-03,2020-12-28,0.8104538489239108,0.0026244768758031,0.0233515726022947,1632123.834448513
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8100758011452612,0.0026098460880116,0.0232322305593908,1627660.8628792916
"best_model_layers_2_seq_60_hunits[32, 148]_lr0.0001_daydecay1_maxnorm15.pth",2017-01-03,2020-12-28,0.8088370277449237,0.0026035516783535,0.0232116946989833,1625853.9570740734
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.001_daydecay2_maxnorm3.pth",2017-01-03,2020-12-28,0.8082900293951341,0.0025912573585653,0.0231177199630247,1622220.0417585587
"best_model_layers_2_seq_365_hunits[32, 148]_lr0.001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8062254663723077,0.0026309039951047,0.0235315297043536,1632392.62040876
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.805945650504537,0.0026301360784659,0.0235328287618902,1632165.2562820422
"best_model_layers_2_seq_30_hunits[32, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8053865772720189,0.0025804574654837,0.0231043624726642,1618916.4907522835
"best_model_layers_2_seq_180_hunits[256, 148]_lr0.0001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.8050019651863964,0.0025950759422513,0.0232463516318093,1622709.9133112077
"best_model_layers_2_seq_30_hunits[256, 148]_lr0.001_daydecay2_maxnorm1.pth",2017-01-03,2020-12-28,0.8039571563137814,0.0026332660051774,0.0236191083791978,1632916.6681076435
best_model_layers_1_seq_180_hunits[148]_lr0.001_daydecay2_maxnorm15.pth,2017-01-03,2020-12-28,0.8038579986080415,0.0026465754797758,0.0237414160541817,1636316.1930758124
"best_model_layers_3_seq_30_hunits[32, 64, 148]_lr0.0001_daydecay1_maxnorm8.pth",2017-01-03,2020-12-28,0.8031276406160855,0.0026459699938595,0.0237575697902297,1635926.858028268
"best_model_layers_2_seq_180_hunits[32, 148]_lr0.001_daydecay1_maxnorm1.pth",2017-01-03,2020-12-28,0.8027545381261401,0.0026083037603769,0.0234302579515207,1625278.7028086523
"best_model_layers_2_seq_365_hunits[64, 148]_lr0.001_daydecay1_maxnorm3.pth",2017-01-03,2020-12-28,0.8000993448371484,0.0026433010159894,0.0238234349550076,1634482.2975260837
